hotel_id,snapshot_month,market_segment,region,star_rating,days_listed,is_new_partner,review_score,review_count,photo_count,content_completeness_score,has_virtual_tour,price_index_vs_compset,promo_depth_pct,inventory_availability_rate,mobile_conversion_rate,guest_response_rate_pct,cancellation_rate_pct,days_since_last_content_update,comp_set_size,underperforming
HTL-00041,9,Leisure Beach,Northeast,3,212,0,1.96,74,29,48.7,0.0,1.174,10.2,89.4,15.0,96.6,4.5,10,14,1
HTL-00042,7,Airport,West,3,145,1,2.33,16,22,55.0,0.0,1.038,16.0,59.2,11.37,42.9,4.1,13,25,1
HTL-00043,2,Suburban,West,4,50,1,4.13,4,22,48.1,0.0,0.768,27.1,61.8,1.21,75.0,13.2,451,10,0
HTL-00044,3,Leisure Beach,West,4,411,0,4.31,6,22,50.0,1.0,0.567,25.6,43.1,9.5,90.9,14.2,240,18,0
HTL-00045,4,Airport,Northeast,3,663,0,3.61,72,25,59.7,0.0,0.689,8.0,69.6,1.55,58.8,7.9,89,18,0
HTL-00046,2,Airport,Midwest,5,373,0,4.42,28,23,65.2,0.0,0.914,21.0,69.2,,52.4,17.4,38,20,0
HTL-00047,11,Leisure Beach,Midwest,4,349,0,3.52,42,8,48.8,0.0,1.107,8.2,52.2,15.0,79.4,13.4,900,25,1
HTL-00048,6,Leisure Beach,Northeast,3,147,1,3.28,20,30,41.9,1.0,0.94,18.7,77.2,5.13,78.4,4.0,20,11,0
HTL-00049,2,Suburban,International,1,230,0,2.17,23,17,57.7,1.0,1.208,17.0,77.2,4.57,80.4,14.9,96,17,1
HTL-00050,3,Urban Business,South,3,699,0,3.02,52,20,51.5,0.0,0.836,23.5,80.1,7.02,95.6,20.5,170,20,0
HTL-00051,5,Urban Business,Northeast,5,588,0,5.0,211,33,60.3,0.0,0.878,8.1,77.7,15.0,58.2,45.0,39,23,0
HTL-00052,6,Urban Business,West,2,285,0,2.67,30,26,30.6,0.0,1.089,14.2,59.9,0.29,79.8,15.8,326,19,0
HTL-00053,3,Airport,Northeast,4,255,0,3.4,56,26,64.8,0.0,0.728,22.6,33.4,6.41,82.4,22.8,187,12,0
HTL-00054,12,Suburban,South,2,1332,0,3.09,191,16,43.0,1.0,0.707,8.4,79.4,5.54,78.8,4.5,59,7,0
HTL-00055,4,Suburban,Northeast,5,973,0,4.53,141,35,45.7,1.0,0.771,29.7,75.1,4.28,71.7,22.1,109,21,0
HTL-00056,11,Airport,West,3,440,0,4.18,12,23,49.7,0.0,0.843,3.5,57.0,11.16,97.1,19.5,65,10,0
HTL-00057,8,Leisure Beach,International,3,221,0,2.15,24,10,45.8,0.0,0.874,0.4,91.6,3.7,87.9,30.9,61,9,1
HTL-00058,7,Suburban,International,4,364,0,3.91,135,23,46.5,0.0,0.989,13.2,64.6,,92.6,9.3,41,10,0
HTL-00059,6,Urban Business,Midwest,3,1135,0,3.39,24,41,49.5,0.0,0.886,33.4,74.4,1.26,77.2,11.4,478,22,0
HTL-00060,4,Urban Business,West,2,657,0,1.93,22,41,60.4,0.0,0.832,17.3,52.4,6.41,90.4,13.1,0,17,0
HTL-00061,6,Suburban,Midwest,4,920,0,3.73,104,48,71.4,1.0,0.909,8.9,66.8,1.01,88.3,17.6,85,7,0
HTL-00062,8,Leisure Beach,Northeast,5,21,1,4.09,3,27,53.1,1.0,1.299,19.1,79.9,7.37,62.1,6.5,183,8,1
HTL-00063,2,Suburban,West,3,591,0,2.89,96,19,70.7,0.0,1.349,26.0,70.9,1.97,50.9,28.8,123,12,0
HTL-00064,6,Airport,South,3,603,0,3.19,171,31,67.4,1.0,0.901,23.9,70.2,3.34,53.7,3.2,132,15,1
HTL-00065,11,Suburban,West,3,856,0,2.95,128,25,66.2,0.0,1.038,18.3,67.9,0.31,57.2,4.4,126,5,1
HTL-00066,5,Suburban,Northeast,4,742,0,,273,19,38.7,0.0,0.933,12.1,55.4,3.78,80.1,19.0,124,15,1
HTL-00067,5,Suburban,West,3,243,0,2.59,72,26,77.3,1.0,1.242,10.3,59.7,8.8,78.1,8.1,36,7,0
HTL-00068,10,Leisure Beach,Northeast,4,108,1,3.22,2,43,67.3,0.0,1.208,18.7,74.5,5.64,92.0,12.1,48,5,1
HTL-00069,7,Urban Business,Midwest,4,25,1,3.89,2,19,60.5,1.0,1.0,6.5,87.2,2.03,84.4,26.7,8,21,0
HTL-00070,4,Leisure Beach,International,3,375,0,2.62,19,33,38.2,0.0,1.175,15.6,50.3,0.97,80.3,9.8,208,11,1
HTL-00071,8,Urban Business,Midwest,3,575,0,3.46,280,4,50.3,0.0,1.167,4.7,82.1,15.0,69.4,13.6,49,8,0
HTL-00072,7,Leisure Beach,South,3,302,0,2.99,17,33,57.8,0.0,0.925,10.2,60.5,8.94,75.8,16.5,126,19,0
HTL-00073,6,Airport,South,4,1027,0,3.45,167,23,27.5,0.0,0.885,7.8,71.5,14.69,85.9,24.5,127,6,0
HTL-00074,9,Urban Business,Northeast,4,108,1,5.0,20,29,63.7,0.0,1.135,19.6,77.8,8.12,91.7,6.1,18,24,0
HTL-00075,6,Urban Business,Northeast,2,1047,0,2.43,324,17,43.3,1.0,0.894,12.2,96.5,5.28,52.7,19.8,428,15,0
HTL-00076,2,Leisure Beach,Midwest,3,278,0,3.82,117,30,44.7,1.0,1.196,30.5,60.2,15.0,77.4,17.8,235,10,0
HTL-00077,8,Leisure Beach,West,3,265,0,3.76,11,26,36.8,0.0,1.129,32.3,85.2,5.13,43.2,22.6,288,11,1
HTL-00078,12,Suburban,Northeast,2,170,1,3.83,13,37,64.4,0.0,1.157,32.3,83.4,7.38,87.9,20.8,141,9,0
HTL-00079,10,Suburban,Northeast,4,701,0,3.5,131,30,56.5,1.0,0.997,5.9,69.5,,78.7,32.2,37,11,1
HTL-00080,11,Airport,Northeast,3,580,0,2.21,236,40,61.7,1.0,1.11,18.4,59.6,2.02,84.2,16.0,140,22,1
HTL-00081,2,Suburban,Midwest,2,510,0,2.17,22,4,22.8,0.0,1.145,5.2,87.1,4.03,57.8,22.2,198,16,1
HTL-00082,10,Leisure Beach,International,3,462,0,3.93,31,28,66.8,0.0,1.002,6.9,80.6,2.96,92.3,17.3,103,11,0
HTL-00083,5,Airport,International,4,1292,0,3.23,417,34,73.5,0.0,1.136,18.2,84.7,2.65,69.3,11.5,151,17,1
HTL-00084,9,Urban Business,Midwest,4,529,0,4.16,35,7,18.1,0.0,0.777,22.8,86.5,4.92,89.1,17.1,117,17,0
HTL-00085,9,Urban Business,Northeast,4,881,0,4.21,22,20,55.4,0.0,0.981,15.7,49.5,7.72,80.0,44.3,46,19,0
HTL-00086,4,Urban Business,Northeast,5,73,1,4.47,8,18,50.3,0.0,0.878,13.9,81.7,3.96,51.3,6.6,90,11,0
HTL-00087,6,Suburban,Midwest,2,620,0,3.12,95,33,66.9,1.0,0.71,24.6,76.2,1.8,93.7,9.8,93,14,0
HTL-00088,7,Leisure Beach,Midwest,3,413,0,2.41,105,19,64.9,1.0,0.834,17.6,49.9,5.94,80.9,31.9,1,24,1
HTL-00089,5,Urban Business,Northeast,3,205,0,2.42,37,38,68.1,,1.022,13.9,94.0,2.63,84.1,27.8,49,17,0
HTL-00090,8,Suburban,Northeast,5,142,1,,15,42,47.8,0.0,0.941,26.6,47.5,4.18,62.3,21.0,102,5,1
HTL-00091,12,Urban Business,International,4,726,0,3.99,22,24,35.7,1.0,1.386,8.1,64.8,,67.7,3.4,103,14,1
HTL-00092,7,Suburban,International,3,98,1,2.74,7,32,44.7,0.0,1.102,13.0,95.6,10.31,58.1,12.7,39,19,0
HTL-00093,5,Leisure Beach,Midwest,2,186,0,2.84,51,24,81.5,1.0,1.113,3.1,61.2,13.95,82.6,29.0,289,12,1
HTL-00094,4,Leisure Beach,Northeast,3,363,0,4.25,49,12,30.6,0.0,1.193,3.0,88.0,2.71,76.7,2.9,218,6,0
HTL-00095,12,Leisure Beach,International,4,153,1,3.1,69,37,58.7,0.0,0.908,12.9,82.4,1.58,69.7,15.1,25,10,0
HTL-00096,10,Suburban,International,4,1130,0,3.49,276,43,46.0,0.0,0.616,5.0,54.8,5.74,89.2,26.4,22,8,0
HTL-00097,11,Leisure Beach,South,5,1266,0,3.85,328,26,41.5,0.0,0.889,13.6,76.0,,92.6,16.1,38,19,1
HTL-00098,9,Urban Business,Midwest,3,113,1,3.61,14,38,56.8,1.0,1.051,10.0,54.1,11.28,74.7,24.2,29,25,1
HTL-00099,11,Urban Business,International,2,827,0,2.2,172,43,57.7,0.0,1.155,18.3,69.8,5.18,61.1,21.0,158,20,1
HTL-00100,3,Resort/Destination,International,3,352,0,4.07,23,32,56.0,0.0,0.87,15.7,69.3,2.32,66.0,28.9,70,16,0
HTL-00101,12,Resort/Destination,International,5,140,1,3.44,21,22,58.3,0.0,1.222,3.0,69.0,1.69,52.9,21.0,370,21,1
HTL-00102,11,Suburban,South,4,1714,0,2.97,267,21,51.6,0.0,1.077,12.4,90.4,15.0,66.8,30.1,40,12,0
HTL-00103,6,Urban Business,South,3,685,0,3.52,93,31,56.4,0.0,1.14,23.7,78.9,1.33,46.2,7.5,34,23,0
HTL-00104,10,Resort/Destination,Northeast,5,61,1,5.0,6,37,64.3,1.0,0.914,14.9,72.8,,97.6,42.3,53,9,0
HTL-00105,4,Airport,South,3,430,0,3.01,105,21,63.2,1.0,0.934,17.4,52.0,11.84,92.9,8.4,409,8,0
HTL-00106,8,Suburban,Midwest,1,663,0,2.57,147,17,33.5,0.0,1.002,5.4,45.6,2.84,70.7,32.2,58,11,0
HTL-00107,11,Leisure Beach,South,4,222,0,2.81,43,3,33.2,0.0,0.887,4.2,85.6,8.27,65.1,8.2,140,18,1
HTL-00108,8,Urban Business,South,4,150,1,3.11,4,32,62.9,0.0,0.935,20.4,94.7,8.09,66.8,30.2,46,20,0
HTL-00109,6,Urban Business,Midwest,5,607,0,4.33,94,38,58.1,0.0,0.927,26.3,44.6,,54.3,4.2,6,14,0
HTL-00110,7,Resort/Destination,West,3,316,0,3.4,29,12,13.7,,1.185,11.5,71.7,1.19,85.7,18.0,20,21,1
HTL-00111,10,Leisure Beach,Northeast,3,455,0,3.42,189,32,70.7,0.0,1.198,4.8,78.2,7.16,48.5,6.6,18,18,1
HTL-00112,4,Urban Business,South,3,56,1,3.75,17,18,58.6,0.0,0.985,8.2,92.4,9.12,84.1,12.2,11,17,0
HTL-00113,10,Leisure Beach,West,2,51,1,2.6,23,14,61.3,0.0,0.997,9.1,53.1,5.09,96.0,20.7,578,9,1
HTL-00114,3,Suburban,South,3,1371,0,4.01,157,33,59.9,0.0,0.955,7.5,90.4,4.64,74.0,34.3,380,15,0
HTL-00115,2,Urban Business,Midwest,5,443,0,4.18,65,3,34.5,0.0,1.122,11.9,59.1,4.96,88.7,45.0,13,25,0
HTL-00116,11,Airport,South,2,219,0,2.65,4,34,64.8,1.0,1.191,9.4,95.5,8.42,56.7,10.3,210,23,0
HTL-00117,8,Airport,South,3,121,1,3.13,9,14,34.1,0.0,0.853,8.8,69.8,9.25,91.6,21.1,243,14,0
HTL-00118,1,Suburban,International,3,289,0,4.1,8,21,51.8,1.0,1.044,32.6,74.2,3.23,78.4,27.7,37,11,1
HTL-00119,11,Leisure Beach,Midwest,3,855,0,3.38,219,33,60.4,0.0,1.123,16.3,74.1,2.58,75.4,16.1,359,15,1
HTL-00120,11,Suburban,West,5,436,0,4.61,52,27,58.9,0.0,0.983,7.7,42.6,5.88,95.1,32.3,57,10,0
HTL-00121,3,Suburban,South,4,578,0,3.78,135,33,64.3,0.0,1.338,16.9,64.2,0.86,86.4,20.6,34,15,0
HTL-00122,11,Suburban,Midwest,3,333,0,2.85,47,28,69.6,0.0,1.059,18.7,66.8,4.53,85.6,37.5,30,18,0
HTL-00123,4,Urban Business,Northeast,1,417,0,1.0,85,32,16.6,0.0,1.208,15.1,53.3,7.35,98.7,18.7,64,6,1
HTL-00124,6,Leisure Beach,Northeast,4,306,0,3.24,15,31,62.1,0.0,0.852,5.1,66.1,6.31,77.4,13.4,67,6,0
HTL-00125,3,Urban Business,South,2,1207,0,2.96,156,12,65.6,1.0,1.048,4.2,88.2,9.67,56.7,13.9,72,6,0
HTL-00126,8,Leisure Beach,Northeast,3,501,0,3.76,86,22,53.0,1.0,0.788,8.0,47.9,2.14,79.9,19.5,205,8,0
HTL-00127,1,Leisure Beach,International,3,540,0,2.38,215,29,47.9,0.0,0.849,12.5,83.1,5.44,50.7,10.1,317,12,0
HTL-00128,3,Urban Business,International,4,190,0,4.22,35,4,47.1,1.0,0.805,23.5,33.5,4.19,63.2,8.7,306,20,0
HTL-00129,3,Urban Business,Northeast,3,658,0,3.33,30,29,58.9,0.0,1.06,29.0,75.8,6.62,47.4,15.9,64,6,0
HTL-00130,4,Suburban,International,5,259,0,4.26,45,15,47.9,0.0,0.926,14.6,68.2,4.85,64.4,10.3,207,7,0
HTL-00131,9,Urban Business,West,3,25,1,,6,44,57.8,0.0,1.137,1.9,88.6,,59.3,34.7,138,8,0
HTL-00132,8,Resort/Destination,Midwest,3,591,0,3.51,57,17,52.4,0.0,1.135,10.5,92.6,4.06,87.1,19.5,65,25,0
HTL-00133,9,Suburban,West,2,717,0,3.26,73,18,39.8,1.0,1.237,21.3,89.9,4.75,73.8,11.7,30,12,0
HTL-00134,1,Leisure Beach,Northeast,4,863,0,3.36,173,6,49.6,0.0,0.93,17.9,79.4,4.72,71.1,8.8,247,8,0
HTL-00135,1,Suburban,Northeast,3,674,0,3.15,100,24,42.4,0.0,1.098,6.5,78.6,2.13,89.7,18.0,162,19,1
HTL-00136,11,Urban Business,International,3,821,0,2.96,179,21,67.7,0.0,1.113,15.3,66.1,5.59,94.2,36.4,97,16,0
HTL-00137,11,Resort/Destination,Northeast,3,394,0,3.18,20,64,68.0,1.0,1.251,19.0,81.1,5.16,38.1,16.3,152,5,1
HTL-00138,2,Leisure Beach,West,4,194,0,3.09,42,23,41.6,0.0,0.893,15.5,82.0,4.16,75.1,3.5,19,10,1
HTL-00139,2,Airport,Northeast,4,207,0,4.32,23,36,62.4,0.0,0.868,32.4,62.6,1.41,81.5,13.4,240,6,0
HTL-00140,10,Urban Business,West,4,535,0,3.78,283,18,51.3,1.0,1.081,17.7,85.1,3.5,87.2,10.1,56,20,1
HTL-00141,9,Leisure Beach,South,4,777,0,2.81,32,29,39.0,0.0,0.671,3.2,81.2,2.27,78.8,10.8,430,12,0
HTL-00142,11,Leisure Beach,International,5,1337,0,4.81,234,31,36.7,0.0,1.017,17.4,96.6,0.67,53.3,31.4,4,5,0
HTL-00143,8,Resort/Destination,Northeast,3,1217,0,3.15,95,10,38.0,,1.023,10.3,67.8,12.38,66.8,16.8,494,16,1
HTL-00144,1,Suburban,South,2,502,0,2.54,68,18,34.6,1.0,1.159,7.6,54.1,10.09,85.3,4.8,6,5,0
HTL-00145,2,Leisure Beach,Midwest,2,919,0,2.45,132,28,47.3,0.0,0.936,21.9,84.8,4.27,73.4,15.4,85,13,0
HTL-00146,2,Urban Business,West,4,665,0,,103,26,53.1,0.0,0.955,12.1,75.8,2.94,83.2,11.6,131,9,0
HTL-00147,4,Leisure Beach,Northeast,3,293,0,3.52,20,26,26.4,0.0,1.089,20.9,90.4,10.83,92.9,3.1,274,7,0
HTL-00148,8,Suburban,West,3,333,0,2.62,50,4,48.5,,1.162,17.0,66.2,3.34,91.0,33.1,227,14,1
HTL-00149,2,Leisure Beach,International,5,269,0,3.51,46,25,48.3,1.0,1.319,3.4,87.5,5.93,93.3,9.4,116,13,0
HTL-00150,11,Urban Business,South,4,321,0,4.59,33,23,56.2,1.0,0.881,13.7,85.0,2.6,52.5,10.7,42,9,0
HTL-00151,5,Airport,West,4,1580,0,3.04,190,33,64.6,1.0,1.0,23.8,73.1,4.9,78.9,17.5,266,25,1
HTL-00152,5,Resort/Destination,South,3,273,0,3.49,2,19,38.3,,1.075,17.4,64.1,3.94,87.3,19.6,132,25,1
HTL-00153,12,Urban Business,Midwest,3,647,0,2.31,85,3,45.6,0.0,1.002,17.0,74.1,4.25,62.8,36.2,304,12,0
HTL-00154,11,Suburban,South,5,1696,0,4.13,8,19,51.2,0.0,1.104,18.2,64.1,7.12,73.1,26.9,9,17,0
HTL-00155,11,Urban Business,West,4,825,0,3.63,25,26,56.6,0.0,1.061,20.8,81.2,3.94,99.2,36.6,256,9,1
HTL-00156,4,Suburban,South,3,1101,0,2.9,324,36,79.4,0.0,1.26,13.6,23.4,9.53,90.9,20.3,43,6,0
HTL-00157,1,Leisure Beach,South,4,43,1,3.12,5,32,38.9,1.0,1.063,12.2,90.0,3.63,80.6,9.1,47,10,0
HTL-00158,9,Suburban,Northeast,2,1735,0,2.87,46,4,45.5,1.0,0.826,9.4,87.9,2.79,55.5,22.5,230,24,1
HTL-00159,11,Suburban,West,4,1041,0,4.15,50,29,71.3,0.0,1.096,8.7,95.2,11.19,45.7,25.2,307,17,1
HTL-00160,7,Airport,International,3,368,0,4.02,25,25,61.6,0.0,0.908,20.2,90.6,5.69,80.1,7.5,232,24,0
HTL-00161,11,Urban Business,Midwest,2,477,0,2.72,93,16,44.4,0.0,1.088,15.2,85.7,7.59,87.3,12.6,12,23,0
HTL-00162,11,Resort/Destination,Northeast,3,300,0,3.68,14,12,29.6,0.0,0.909,15.0,73.1,4.78,93.4,23.0,281,15,0
HTL-00163,12,Urban Business,West,4,414,0,3.19,132,26,65.1,1.0,0.928,6.2,82.8,8.4,84.2,24.0,111,10,1
HTL-00164,7,Urban Business,South,3,428,0,3.75,84,23,60.2,1.0,1.219,7.5,74.5,5.38,44.6,13.0,50,22,1
HTL-00165,7,Suburban,West,2,331,0,2.32,11,30,51.8,0.0,1.239,3.7,79.1,12.72,61.8,10.4,28,23,1
HTL-00166,5,Leisure Beach,South,4,117,1,4.05,13,14,34.3,1.0,1.045,10.9,42.6,2.14,86.1,4.6,163,10,0
HTL-00167,5,Airport,South,4,406,0,,46,37,79.3,0.0,1.153,6.5,59.3,5.39,70.5,4.6,44,19,1
HTL-00168,7,Airport,International,4,1452,0,3.74,152,16,17.6,0.0,0.898,12.5,74.9,4.83,84.1,16.9,50,7,0
HTL-00169,11,Leisure Beach,Northeast,3,316,0,3.72,10,28,71.9,0.0,1.108,33.4,59.3,9.96,61.9,11.7,263,19,0
HTL-00170,8,Resort/Destination,Midwest,3,550,0,3.18,99,15,40.2,0.0,1.064,8.1,41.1,0.87,90.1,18.2,188,22,0
HTL-00171,9,Leisure Beach,Northeast,1,1212,0,2.32,82,20,64.7,1.0,0.821,10.0,64.0,6.38,61.6,43.8,153,20,1
HTL-00172,12,Suburban,South,3,978,0,3.23,93,17,50.3,0.0,0.942,5.1,60.7,4.52,86.8,22.0,64,18,0
HTL-00173,12,Urban Business,South,3,353,0,3.66,34,6,46.3,1.0,0.858,16.4,88.9,8.15,80.1,14.8,170,19,0
HTL-00174,12,Resort/Destination,Midwest,4,648,0,3.76,64,30,71.5,0.0,1.215,1.3,94.5,9.24,56.1,13.9,31,25,0
HTL-00175,10,Urban Business,South,3,85,1,4.0,3,12,57.7,0.0,1.144,6.1,67.3,1.48,89.0,26.5,238,13,0
HTL-00176,4,Urban Business,Northeast,5,426,0,4.26,69,9,79.5,1.0,1.037,3.7,52.2,7.15,98.3,45.0,36,14,0
HTL-00177,2,Leisure Beach,Midwest,4,755,0,4.29,54,13,54.2,0.0,0.928,1.2,51.1,1.32,51.0,17.6,40,7,1
HTL-00178,5,Resort/Destination,West,3,379,0,3.65,57,10,54.0,0.0,0.957,12.9,54.5,12.77,90.6,2.4,111,23,0
HTL-00179,7,Resort/Destination,International,5,225,0,5.0,72,18,47.2,1.0,0.914,6.5,88.5,4.12,57.1,15.5,219,15,0
HTL-00180,7,Airport,Northeast,3,611,0,3.45,106,51,67.0,0.0,1.232,11.6,52.8,0.47,92.6,33.4,0,17,1
HTL-00181,12,Resort/Destination,West,4,749,0,3.41,34,23,32.5,0.0,1.274,12.2,62.0,10.39,85.5,16.1,217,11,1
HTL-00182,7,Resort/Destination,South,3,779,0,3.37,423,30,21.9,0.0,1.117,23.2,83.3,13.83,89.7,25.5,192,22,0
HTL-00183,1,Suburban,Northeast,3,186,0,3.21,27,3,52.4,0.0,1.182,30.0,80.3,6.21,93.7,11.5,529,5,0
HTL-00184,5,Leisure Beach,South,4,1508,0,3.41,267,15,31.3,0.0,0.668,11.3,77.3,4.79,54.3,14.5,443,14,0
HTL-00185,12,Airport,South,3,417,0,4.27,46,4,47.4,,0.849,10.5,79.5,14.49,86.7,33.0,152,5,0
HTL-00186,8,Suburban,West,3,388,0,3.05,70,29,55.9,0.0,1.12,5.4,82.1,8.18,64.3,9.4,212,6,1
HTL-00187,4,Leisure Beach,International,3,503,0,,58,24,48.4,1.0,0.919,8.7,73.1,10.72,71.4,14.5,98,11,1
HTL-00188,8,Urban Business,Northeast,2,715,0,2.59,80,17,34.3,0.0,1.064,1.4,59.6,13.73,84.0,17.9,17,18,0
HTL-00189,4,Airport,Northeast,3,374,0,4.35,47,18,43.0,0.0,0.778,17.1,55.3,4.81,84.7,39.0,17,23,0
HTL-00190,7,Urban Business,International,3,2093,0,4.18,327,34,61.6,1.0,1.149,0.7,93.7,1.36,84.1,3.4,194,12,0
HTL-00191,1,Resort/Destination,Midwest,3,97,1,3.89,1,9,15.1,0.0,0.886,21.3,58.2,2.61,82.6,24.4,40,7,1
HTL-00192,1,Urban Business,West,3,497,0,3.21,74,16,44.3,0.0,0.989,2.4,64.9,2.88,71.0,22.7,76,25,0
HTL-00193,12,Urban Business,West,3,734,0,3.88,183,30,55.0,0.0,1.076,15.5,66.5,,90.5,37.7,55,9,1
HTL-00194,8,Airport,South,4,216,0,3.16,17,34,52.9,1.0,0.705,9.9,59.6,11.84,71.4,24.3,4,6,1
HTL-00195,7,Urban Business,South,5,322,0,3.41,78,26,53.1,1.0,0.898,10.5,72.2,7.14,74.4,5.3,5,18,0
